originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,North America,1,North America,57617,191071,84668,96102,,CAN,Canada,CAN,Canada,0,0,0,0,1,1
1,North America,1,North America,57617,191071,84668,96102,,CAN,Canada,USA,United States,1509,190436,238,28,1,1
1,North America,1,North America,57617,191071,84668,96102,,USA,United States,CAN,Canada,56108,635,84430,96074,1,1
1,North America,1,North America,57617,191071,84668,96102,,USA,United States,USA,United States,0,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,AGO,Angola,1831,0,68,20,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,BDI,Burundi,0,0,0,2121,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,BFA,Burkina Faso,669,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,CIV,Ivory Coast,8,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,CMR,Cameroon,0,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,COD,DR Congo,259,0,0,257,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,DZA,Algeria,66,21,115,162,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,EGY,Egypt,0,0,36,76,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,ERI,Eritrea,0,3,1,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,ETH,Ethiopia,192,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,GHA,Ghana,102,19,10,10,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,GIN,Guinea,723,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,KEN,Kenya,0,125,0,13,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,LBR,Liberia,49,406,0,62,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,LBY,Libya,423,96,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,MAR,Morocco,0,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,MLI,Mali,65,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,MOZ,Mozambique,3,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,MWI,Malawi,11,17,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,NGA,Nigeria,0,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,RWA,Rwanda,0,4519,11,954,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,SDN,Sudan,1246,0,184,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,CAN,Canada,SEN,Senegal,20,0,0,0,1,1
